
This is hrPING v5.07.1150 by cFos Software GmbH -- https://www.cfos.de

2024-09-28 19:08:09.970: -t 8.8.8.8 -F 0928.log
Source address is 192.168.1.113; using ICMP echo-request, ID=4c68
Pinging 8.8.8.8 [8.8.8.8]
with 32 bytes data (60 bytes IP):

setsockopt IP_HDRINCL failed: Error 10013: ??????????????????????????
From 8.8.8.8: bytes=60 seq=0001 TTL=117 ID=0000 time=8.840ms
From 8.8.8.8: bytes=60 seq=0002 TTL=117 ID=0000 time=8.802ms
From 8.8.8.8: bytes=60 seq=0003 TTL=117 ID=0000 time=8.739ms
From 8.8.8.8: bytes=60 seq=0004 TTL=117 ID=0000 time=8.492ms
From 8.8.8.8: bytes=60 seq=0005 TTL=117 ID=0000 time=8.646ms
From 8.8.8.8: bytes=60 seq=0006 TTL=117 ID=0000 time=8.630ms
From 8.8.8.8: bytes=60 seq=0007 TTL=117 ID=0000 time=8.517ms
From 8.8.8.8: bytes=60 seq=0008 TTL=117 ID=0000 time=8.780ms
From 8.8.8.8: bytes=60 seq=0009 TTL=117 ID=0000 time=8.834ms
From 8.8.8.8: bytes=60 seq=000a TTL=117 ID=0000 time=8.708ms
From 8.8.8.8: bytes=60 seq=000b TTL=117 ID=0000 time=8.709ms
From 8.8.8.8: bytes=60 seq=000c TTL=117 ID=0000 time=8.916ms
From 8.8.8.8: bytes=60 seq=000d TTL=117 ID=0000 time=8.624ms
From 8.8.8.8: bytes=60 seq=000e TTL=117 ID=0000 time=8.712ms
From 8.8.8.8: bytes=60 seq=000f TTL=117 ID=0000 time=9.143ms
From 8.8.8.8: bytes=60 seq=0010 TTL=117 ID=0000 time=9.179ms
From 8.8.8.8: bytes=60 seq=0011 TTL=117 ID=0000 time=8.858ms
From 8.8.8.8: bytes=60 seq=0012 TTL=117 ID=0000 time=9.174ms
From 8.8.8.8: bytes=60 seq=0013 TTL=117 ID=0000 time=8.942ms
From 8.8.8.8: bytes=60 seq=0014 TTL=117 ID=0000 time=8.565ms
From 8.8.8.8: bytes=60 seq=0015 TTL=117 ID=0000 time=8.887ms
From 8.8.8.8: bytes=60 seq=0016 TTL=117 ID=0000 time=9.814ms
From 8.8.8.8: bytes=60 seq=0017 TTL=117 ID=0000 time=8.764ms
From 8.8.8.8: bytes=60 seq=0018 TTL=117 ID=0000 time=8.851ms
From 8.8.8.8: bytes=60 seq=0019 TTL=117 ID=0000 time=8.763ms
From 8.8.8.8: bytes=60 seq=001a TTL=117 ID=0000 time=8.642ms
From 8.8.8.8: bytes=60 seq=001b TTL=117 ID=0000 time=8.660ms
From 8.8.8.8: bytes=60 seq=001c TTL=117 ID=0000 time=8.670ms
From 8.8.8.8: bytes=60 seq=001d TTL=117 ID=0000 time=8.890ms
From 8.8.8.8: bytes=60 seq=001e TTL=117 ID=0000 time=8.562ms
From 8.8.8.8: bytes=60 seq=001f TTL=117 ID=0000 time=8.885ms
From 8.8.8.8: bytes=60 seq=0020 TTL=117 ID=0000 time=8.522ms
From 8.8.8.8: bytes=60 seq=0021 TTL=117 ID=0000 time=8.734ms
From 8.8.8.8: bytes=60 seq=0022 TTL=117 ID=0000 time=8.667ms
From 8.8.8.8: bytes=60 seq=0023 TTL=117 ID=0000 time=8.685ms
From 8.8.8.8: bytes=60 seq=0024 TTL=117 ID=0000 time=8.637ms
From 8.8.8.8: bytes=60 seq=0025 TTL=117 ID=0000 time=8.721ms
From 8.8.8.8: bytes=60 seq=0026 TTL=117 ID=0000 time=8.537ms
From 8.8.8.8: bytes=60 seq=0027 TTL=117 ID=0000 time=9.511ms
From 8.8.8.8: bytes=60 seq=0028 TTL=117 ID=0000 time=8.476ms
From 8.8.8.8: bytes=60 seq=0029 TTL=117 ID=0000 time=8.511ms
From 8.8.8.8: bytes=60 seq=002a TTL=117 ID=0000 time=8.927ms
From 8.8.8.8: bytes=60 seq=002b TTL=117 ID=0000 time=8.674ms
From 8.8.8.8: bytes=60 seq=002c TTL=117 ID=0000 time=8.974ms
From 8.8.8.8: bytes=60 seq=002d TTL=117 ID=0000 time=8.665ms
From 8.8.8.8: bytes=60 seq=002e TTL=117 ID=0000 time=8.406ms
From 8.8.8.8: bytes=60 seq=002f TTL=117 ID=0000 time=8.782ms
